id,code,name,description,flag
l10n_mx_wbl_unit_weight_XLG,XLG,Bitácora,,Packaging
l10n_mx_wbl_unit_weight_XLT,XLT,Lote,,Packaging
l10n_mx_wbl_unit_weight_XLU,XLU,Caja de arrastre,Caja de madera para el transporte y almacenamiento de frutas y verduras.,Packaging
l10n_mx_wbl_unit_weight_XLV,XLV,Contenedor pequeño,"Contenedor de madera o metal, usado para empacar artículos de uso doméstico y personales.",Packaging
l10n_mx_wbl_unit_weight_XLZ,XLZ,Registros  con fleje/ agrupados/ armados,,Packaging
l10n_mx_wbl_unit_weight_XMA,XMA,Cajón metálico,Caja de contención hecha de metal para retener sustancias o artículos.,Packaging
l10n_mx_wbl_unit_weight_XMB,XMB,Múltiplo de bolsas,,Packaging
l10n_mx_wbl_unit_weight_XMC,XMC,Cajón para leche,,Packaging
l10n_mx_wbl_unit_weight_XME,XME,Contenedor de metal,"Tipo de caja de contención hecha de metal para retener sustancias o artículos, no especificado de otro modo como equipo de transporte.",Packaging
l10n_mx_wbl_unit_weight_XMR,XMR,Recipiente de metal,Recipiente de contención de metal para retener sustancias o artículos.,Packaging
l10n_mx_wbl_unit_weight_XMS,XMS,Saco milti-pared,,Packaging
l10n_mx_wbl_unit_weight_XMT,XMT,Tapete,,Packaging
l10n_mx_wbl_unit_weight_XMW,XMW,Contenedor envuelto en plástico,Recipiente de contención envuelto en plástico para retener sustancias o artículos.,Packaging
l10n_mx_wbl_unit_weight_XMX,XMX,Caja pequeña de cerillos,,Packaging
l10n_mx_wbl_unit_weight_XNA,XNA,No disponible,,Packaging
l10n_mx_wbl_unit_weight_XNE,XNE,Sin empaque o no empaquetado,,Packaging
l10n_mx_wbl_unit_weight_XNF,XNF,"Sin empaque o no empaquetado, unidad simple",,Packaging
l10n_mx_wbl_unit_weight_XNG,XNG,"Sin empaque o no empaquetado, unidades múltiples",,Packaging
l10n_mx_wbl_unit_weight_XNS,XNS,Caja nido,,Packaging
l10n_mx_wbl_unit_weight_XNT,XNT,Red,,Packaging
l10n_mx_wbl_unit_weight_XNU,XNU,Red de plástico con tubo,,Packaging
l10n_mx_wbl_unit_weight_XNV,XNV,Red textil con tubo,,Packaging
l10n_mx_wbl_unit_weight_XOA,XOA,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 40 cm x 60 cm",Pallet de dimensiones 40 centímetros x 60 centímetros.,Packaging
l10n_mx_wbl_unit_weight_XOB,XOB,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 80 cm x 120 cm",Pallet de dimensiones 80 centímetros x 120 centímetros.,Packaging
l10n_mx_wbl_unit_weight_XOC,XOC,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 100 cm x 120 cm",Pallet de dimensiones 100 centímetros x 120 centímetros.,Packaging
l10n_mx_wbl_unit_weight_XOD,XOD,"Pallet, AS 4068-1993",Pallet con  estándar australiano de dimensiones 115.5 centímetros x 116.5 centímetros.,Packaging
l10n_mx_wbl_unit_weight_XOE,XOE,"Pallet, ISO T11","Pallet con estándar ISO de dimensiones 110 centímetros x 110 centímetros, prevalente en la región Asia-Pacífico.",Packaging
l10n_mx_wbl_unit_weight_XOF,XOF,"Plataforma, peso o dimensión no especificada",Plataforma de carga equivalente del Pallet de dimensiones desconocidas o peso desconocido.,Packaging
l10n_mx_wbl_unit_weight_XOK,XOK,Bloque,"Una pieza sólida de una sustancia dura, tal como granito, que tiene uno o más lados planos.",Packaging
l10n_mx_wbl_unit_weight_XOT,XOT,Octabin,"Envase estándar de cartón de grandes dimensiones para almacenar por ejemplo verduras, gránulos de plástico u otros productos secos.",Packaging
l10n_mx_wbl_unit_weight_XP2,XP2,Charola,"Recipiente ancho y abierto, usualmente de metal.",Packaging
l10n_mx_wbl_unit_weight_XPA,XPA,Cajetilla,Paquete pequeño.,Packaging
l10n_mx_wbl_unit_weight_XPB,XPB,"Pallet, Caja combinada y abierta con caja y pallet.",,Packaging
l10n_mx_wbl_unit_weight_XPC,XPC,Paquete postal,,Packaging
l10n_mx_wbl_unit_weight_XPD,XPD,Pallet modular con collares (80cms * 100cms),Pallet tamaño estándar de dimensiones 80 centímetros por 100 centímetros (cms).,Packaging
l10n_mx_wbl_unit_weight_XPE,XPE,Pallet modular con collares (80cms * 120cms),Pallet tamaño estándar de dimensiones 80 centímetros por 120 centímetros (cms).,Packaging
l10n_mx_wbl_unit_weight_XPF,XPF,Corral,Pequeño recinto abierto para retener animales.,Packaging
l10n_mx_wbl_unit_weight_XPG,XPG,Placa,,Packaging
l10n_mx_wbl_unit_weight_XPH,XPH,Cantaro,,Packaging
l10n_mx_wbl_unit_weight_XPI,XPI,Pleca,,Packaging
l10n_mx_wbl_unit_weight_XPJ,XPJ,Canastilla,,Packaging
l10n_mx_wbl_unit_weight_XPK,XPK,Paquete,Unidad de empaque estándar.,Packaging
l10n_mx_wbl_unit_weight_XPL,XPL,Balde,,Packaging
l10n_mx_wbl_unit_weight_XPN,XPN,Tablón,,Packaging
l10n_mx_wbl_unit_weight_XPO,XPO,Bolsa pequeña,,Packaging
l10n_mx_wbl_unit_weight_XPR,XPR,Contenedor de plástico,Recipiente de contención de plástico para retener sustancias o artículos.,Packaging
l10n_mx_wbl_unit_weight_XPT,XPT,Maceta,,Packaging
l10n_mx_wbl_unit_weight_XPU,XPU,Cacerola,,Packaging
l10n_mx_wbl_unit_weight_XPV,XPV,"Tubos, con fleje/ agrupados/ armados",,Packaging
l10n_mx_wbl_unit_weight_XPX,XPX,Pallet,"Plataforma o caja abierta, generalmente de madera, en la que se conservan las mercancías para facilitar el manejo mecánico durante el transporte y almacenamiento.",Packaging
l10n_mx_wbl_unit_weight_XPY,XPY,Placas con fleje/ agrupados/ armados,,Packaging
l10n_mx_wbl_unit_weight_XPZ,XPZ,Tablones con fleje/ agrupados/ armados,,Packaging
l10n_mx_wbl_unit_weight_XQA,XQA,Tambor de acero con cabeza no desmontable,,Packaging
l10n_mx_wbl_unit_weight_XQB,XQB,Tambor de  acero con cabeza extraíble,,Packaging
l10n_mx_wbl_unit_weight_XQC,XQC,Tambor de aluminio con cabeza no extraíble,,Packaging
l10n_mx_wbl_unit_weight_XQD,XQD,Tambor de aluminio con cabeza extraíble,,Packaging
l10n_mx_wbl_unit_weight_XQF,XQF,"Tambor, plástico con cabeza no desmontable",,Packaging
l10n_mx_wbl_unit_weight_XQG,XQG,"Tambor, plástico, cabeza extraíble",,Packaging
l10n_mx_wbl_unit_weight_XQH,XQH,Barril de madera con tapón,,Packaging
l10n_mx_wbl_unit_weight_XQJ,XQJ,Barril de madera con cabeza desprendible,,Packaging
l10n_mx_wbl_unit_weight_XQK,XQK,Bidón de acero con cabeza no desmontable,,Packaging
l10n_mx_wbl_unit_weight_XQL,XQL,Bidón de acero con cabeza desmontable,,Packaging
l10n_mx_wbl_unit_weight_XQM,XQM,Bidón de plástico con cabeza no desmontable,,Packaging
l10n_mx_wbl_unit_weight_XQN,XQN,Bidón de plástico con cabeza extraíble,,Packaging
l10n_mx_wbl_unit_weight_XQP,XQP,Caja de madera natural estándar,,Packaging
l10n_mx_wbl_unit_weight_XQQ,XQQ,Caja de madera natural con muros a prueba de filtraciones,,Packaging
l10n_mx_wbl_unit_weight_XQR,XQR,Caja de plástico expandida,,Packaging
l10n_mx_wbl_unit_weight_XQS,XQS,Caja de plástico sólida,,Packaging
l10n_mx_wbl_unit_weight_XRD,XRD,Rod,,Packaging
l10n_mx_wbl_unit_weight_XRG,XRG,Anillo,,Packaging
l10n_mx_wbl_unit_weight_XRJ,XRJ,"Estante, Perchero para ropa",,Packaging
l10n_mx_wbl_unit_weight_XRK,XRK,Estante,,Packaging
l10n_mx_wbl_unit_weight_XRL,XRL,Carrete,Dispositivo giratorio cilíndrico con un reborde en cada extremo en el que se enrollan los materiales.,Packaging
l10n_mx_wbl_unit_weight_XRO,XRO,Rollo,,Packaging
l10n_mx_wbl_unit_weight_XRT,XRT,Red Roja,Material de confinamiento hecho de redes de malla roja para retener artículos (por ejemplo árboles).,Packaging
l10n_mx_wbl_unit_weight_XRZ,XRZ,Varillas  con fleje/ agrupados/ armados,,Packaging
l10n_mx_wbl_unit_weight_XSA,XSA,Saco,,Packaging
l10n_mx_wbl_unit_weight_XSB,XSB,Losa,,Packaging
l10n_mx_wbl_unit_weight_XSC,XSC,Cajón poco profundo,,Packaging
l10n_mx_wbl_unit_weight_XSD,XSD,Huso,,Packaging
l10n_mx_wbl_unit_weight_XSE,XSE,Baúl,,Packaging
l10n_mx_wbl_unit_weight_XSH,XSH,Bolsa pequeña hermética,,Packaging
l10n_mx_wbl_unit_weight_XSI,XSI,Patín,Una plataforma o plataforma móvil baja para facilitar el manejo y transporte de mercancías.,Packaging
l10n_mx_wbl_unit_weight_XSK,XSK,Carcasa esqueleto,,Packaging
l10n_mx_wbl_unit_weight_XSL,XSL,Hoja de deslizamiento,Láminas de plástico duro se utilizan principalmente como la base sobre la cual apilan mercancías para optimizar el espacio dentro de un contenedor. Puede utilizarse como alternativa a un embalaje paletizado.,Packaging
l10n_mx_wbl_unit_weight_XSM,XSM,Hoja de metal,,Packaging
l10n_mx_wbl_unit_weight_XSO,XSO,Carrete pequeño,"Contenedor de empaque utilizado en el transporte de artículos tales como alambre, cable, cinta e hilo.",Packaging
l10n_mx_wbl_unit_weight_XSP,XSP,Hoja de empaque de plástico,,Packaging
l10n_mx_wbl_unit_weight_XSS,XSS,Cajón de acero,,Packaging
l10n_mx_wbl_unit_weight_XSU,XSU,Maleta,,Packaging
l10n_mx_wbl_unit_weight_XSV,XSV,Sobre de acero,,Packaging
l10n_mx_wbl_unit_weight_XSW,XSW,Envoltorio,Mercancías retenidas en una película de plástico transparente que ha sido envuelta alrededor y luego encogido fuertemente a las mercancías.,Packaging
l10n_mx_wbl_unit_weight_XSY,XSY,Manga,,Packaging
l10n_mx_wbl_unit_weight_XSZ,XSZ,Hojas  con fleje/ agrupados/ armados,,Packaging
